,user_name,teks
0,solarenclave,@screwdiverse @penyeranta oh kalau itu sudah keduluan direlokasi dengan proses represif dari aparat dan uang ganti rugi yg sangat murah alias bajingaaaaaaaaaannnn
1,manisgularote,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
2,bukankaleee,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
3,R_halawi,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
4,RizkyHe96194401,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
5,afaatt,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
6,lem0nsqu3ezy,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
7,enggarrn,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
8,Lukman_HaWaii,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
9,ekkynandaputra,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
10,rezaalif39,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
11,lutfifh07,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
12,andylaustories,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
13,luciferorgasm,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
14,warqlsn_,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
15,MoshiMoshiShop1,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
16,IndiehomeAjg,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
17,dendyhrlmbng,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
18,AnggiAlwik_Sir,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
19,betheonesynergy,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
20,Trias0405,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
21,ya_adiva,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
22,Kadek_Yudistira,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
23,Rabbiyaya,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
24,vincentrcrd,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
25,venny_bp,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
26,ricagoraka,"RT @bersihkan_indo: Hari ini (27/11), Aksi Bentang Spanduk yg dilakukan oleh masy sipil dr berbagai kalangan menuai respon represif dr apar…"
