,user_name,teks
0,daryanpratama_,"@Vano650200822 @headbanx @TimurSae @Ara_Evaendy @GR_Bergerak Wkwkwk Podo ae blok, emang Ono penyerangan aparat? Malah sebalik e blok dan rusuh di luar setelah gas air mata di tembak blok 🤣🤣"
1,syndichrone,"@yourxx___ @SuriyadiAhmad @aissaputra__ @Liga1Match2022 @AremafcOfficial Korban meninggal itu karena gas air mata sehingga kehabisan oksigen akibat menghindari gas air mata itu. Klo perkara suporter rusuh,selama ini yo gak cuma aremania tp hampir semua. Dan gak sampai jatuh korban jiwa sebanyak tragedi kanjuruhan."
2,fatihzaidan,"@Liga1Match2022 kalo polisi yg nembakin gas air mata mah ga salah, malah mereka yang menyelamatkan suporter biar ga rusuh, pokonya semua salah suporter🔥🔥🔥."
3,usernotfound724,@kdrama_menfess Jangan rusuh nanti ditembak gas air mata
4,Ray28011,"@HepriMr @fhaira21 @Altereg086 @AlionelMessi_ Tembak gas air mata di stadion logika masuk akal😅😅😅
Kalau gak pernah liat sepak bola ya gini pikirannya.
Tapi kok tembak gas air mata nya ke tribun penonton yang gak rusuh"
5,hendyekaaa,@yakiniku_ale @apnurrahman @M_Adya90 @noegroho_asto @Liga1Match2022 Kejadian di gelora delta juga lebih rusuh tapi gaada korban jiwa karena aparatnya ga nembak gas air mata ke tribun
6,dimasrezautama,"@Rajiabunisa @HepriMr @fhaira21 @Altereg086 @AlionelMessi_ Kurang tau sih mungkin kalok salah maaf,soal e seng saya tau rusuh rusak stadion tapi alhamdulillah gk ada gas air mata"
7,IndraShaza,"@kumparan Asli ini perbandingan yg sangat bodoh, dikanjuruhan klo gak ada gas air mata nggak akan ada satu pun korban, lah ini acara memang bukan dgn tensi n emosi yg tinggi acara santai maka kemungkinan rusuh kecil, asli ini orang goblok banget pake perbandingan tragedi Kanjuruhan"
8,Iqbalfas,"@Askrlfess duh untung ini terjadi bukan di Indonesia. bersyukur liga sepakbola di Indonesia kualitasnya sangat bagus, aman, dan transparant. ga ada tuh kasus supporter rusuh. jangankan rusuh, supporter damai aja ga pernah tuh ditembakin gas air mata ke arah tribun sama keamanan stadion."
9,Zeinfay,"RT @Bolanet: Rusuh! Belgia kalah lawan Maroko, Fans rusak mobil dan polisi pakai gas air mata!
.
#EMTEKWORLDCUP2022 #BOLANETWORLDCUP2022  #…"
10,AnnasHabibillah,RT @dhiks27: @SiaranBolaLive polisi sana gapunya gas air mata ya? gimana sepak bolanya mau maju kalo suporternya tukang rusuh begini🤬😡🤬😡
11,Mbooo19,"@Hamdiirawan17 @TxtdariHI Rusuh aja masih belum, wong itu aja protest damai biasa. Polisinya aja gak pakai riot gear dan belum ada gas air mata yg ditembakkan samapi sekarang"
12,ArtoSulawesi,RT @dhiks27: @SiaranBolaLive polisi sana gapunya gas air mata ya? gimana sepak bolanya mau maju kalo suporternya tukang rusuh begini🤬😡🤬😡
13,ivanmln9,RT @dhiks27: @SiaranBolaLive polisi sana gapunya gas air mata ya? gimana sepak bolanya mau maju kalo suporternya tukang rusuh begini🤬😡🤬😡
