,user_name,teks
0,karyawantree,https://t.co/RDrwBjxbKR Kayaknya Iwan Bule ga mau turun di PSSI... #kanjuruhan yang terlupakan.. @HumasPoldaJatim @AremafcOfficial
1,Cahyani09669731,"#Arema #Kanjuruhan 

Dimengerti yo sam https://t.co/saYNrHDriq"
2,Fatchur_Ozif,"Secercah Doa Untuk Saudara Saudariku Semua..
.
Stadion Gajayana Menjadi Saksi Ribuan Doa Untuk Kalian..
.
#arema #UsutTuntasTragediKanjuruhan #kanjuruhan #gajayana #aremafc https://t.co/6tR0fnWqOU"
3,jatimnews_id,"Empat dari lima orang prajurit TNI yang diperiksa mengakui melakukan kekerasan dalam tragedi Stadion Kanjuruhan. Panglima TNI Jenderal Andika Perkasa meminta pemeriksaan kasus ini terus dilanjutkan.
#jendralandika #TNI #kanjuruhan #stadion #jatimnews https://t.co/BftU6BqniI"
4,SeputariNews,"Aremania turun ke jalan menggelar aksi Solidaritas Malang Black Sunday menuntut kasus hukum tragedi kanjuruhan. JSP 

#RCTI #SeputariNews #Aremania #Kanjuruhan #Solidaritas https://t.co/AcpO7S4bnV"
5,TVTempoChannel,"RT @TVTempoChannel: FOKUS | VIDEO REPLAY
Tragedi Kanjuruhan, Siapa Lalai?
https://t.co/jqsG7BlNvK

#kanjuruhan #arema #polisi #gasairmata #…"
6,otituka,RT @vincentrompies: Turut berduka #kanjuruhan
7,pupunkpamungkas,RT @cania_citta: Hasil uji lab: gas air mata jadi faktor pemicu kematian dalam tragedi #Kanjuruhan https://t.co/YG9tVzrj3s
8,infoJATIASIH,Harus ada yang bertanggungjawab atas kasus #Kanjuruhan. https://t.co/cqtK4Pseag
9,DioMahendra824,"@SiaranBolaLive Udah Kayak, #Tragedy #Kanjuruhan. Hikzs = 😮😱-🙀😭💔 &amp; :-(((?!. https://t.co/bwavCZz3Ek"
10,PilarHukum,Universitas Unair Gelar FGD Untuk Bedah Kasus Dan Pertanggung Jawaban Hukum Tragedi Kanjuruhan #Kanjuruhan #tragedikanjuruhan #kanjuruhanmalang https://t.co/oewNGV1wSO
11,dhanida11,"Apa bedanya kejadian di Brussels dan di #Kanjuruhan ?
#MenolakLupa https://t.co/j3MzxaroFu"
12,t00pfun,"malang bersuara dan butuh keadilan untuk tragedi kanjuruhan,banyak ibu yang belum ikhlas dan benci sepak bola,banyak anak kehilangan ayah dan ibu mereka,banyak orang tua kehilangan anak tercintany

#USUTTUNTAS #kanjuruhan #polisiindonesia #malang #arema #areminia #aremaindonesia https://t.co/Jaf11vRMhf"
13,EduardEleven,@JBMULYAD1 @idextratime Tuntaskan dulu persoalan #kanjuruhan !!
14,Zen5Firdaus,"@jokowi Ketawain aja.... pidato tak berkualitas... 
Jelas2 yg lo maksud suka nonton BF ...
#kanjuruhan 
#Cianjur 
#Km50  
Dll masih belum kelar bos..."
15,Elroni2000,"Pendapat Ahli terkait Gas Air mata di Kanjuruhan

#Kanjuruhan #GasAirMata https://t.co/alGvKSLVKO"
16,jatimtoday_com,"Aremania turun ke jalan minta usut tuntas tragedi #kanjuruhan #malang 

https://t.co/tPSVsYmwfz @ Malang, Jawa Timur, Indonesia https://t.co/7FtUmC7FHM"
