,user_name,teks
0,TimurSae,"@pelerisme101 @Ara_Evaendy @GR_Bergerak Sama sama suporter kampungan ga usah ngerasa lebih baik. Suporter bola mau bonek arema thejak viking kelakuannya sama semua, kampungan tukang rusuh"
1,bar__mitzvah,@AndiePeci betul ndi...kalo perlu arema d hapuskan saja dari sejarah ndi...aremania nya d penjara juga kalo bisa...jgn sampe yg rusuh mereka tapi club idola nya peci yg ikutan kena juga?g adil itu nama nya ci...y g ci?
2,liverpool979,"@Liga1Match2022 dah bubarin aja arema, kasian klub lain, yg rusuh 1 suporter yg di sanksi semu suporter"
3,thatisbitterr,"@claudeOtat @UpdateBolabola beda persoalan bang harusnya, yg kmrn rusuh kan arema (liga 1) makanya yg diberentiin liganya, yg besok di GBK kan timnasnya, selama ini kan supporter timnas ga seanarkis supporter klub jg"
4,HendyPriyanto08,"@fadhilrafiii920 @naturalman27 @thatisbitterr @Ivanpanjul23 @MafiaWasit Bonek rusuh di sidoarjo dah bertanggung jawab mengganti fasilitas di stadion nya dan sudah di sanksi. Arema? Semua club ikut kesanksi., hehehe kabeh suporter indo pancett ngene yo mas,"
5,SukocoRahmad,@mlgcollective Gara gara club Arema jancok Kabeh kenek imbasse usut tuntas matamu su asu.. wasien kapasitas stdionnne seng mlebu Piro.. rusuh GK gelem ngakoni.. jancok Kon arema
6,imrannah88,"@ResiSapujagad @dede_dedot96 @RiyanHdyt_id @panditfootball Sekarag saya tanya saat arema kalah, ada suporter yg rusuh tidak?"
7,ndunoi,"@badjinganphobic @Userword_ @RabN_ @lurahgoodie @indosupporter Baca dari atas, tim persebaya ga usah datang, maka tragedi tsb tdk akan terjadi. Itu sarkas, dia nyindir ke tim yg kalah, ga sekalian bikin aturan semua tim yg lawan arema ga usah dtg biar klo kalah ga rusuh. Gtu"
8,MuhammadUdayan7,@arema_98 Padahal..yang bikin rusuh awalnya di Kanjuruhan kan oknum suporter Arema kan?????
9,DangdutEmpire,"@_alfiantri @ndunoi @indosupporter Bobotoh sistem gate dan penjualan tiket. 
Arema kemarin sekali lagi gate nya. Jika ga rusuh.. Mmg lancar. Tapi jika rusuh... Disain hanya baik2 saja, sistem evakuasi mendadak mmg jarang dipikirkan."
