,user_name,teks
0,Mutiaamsr,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
1,berstudy,"Keren banget tuh supporter Karasuno balik balik ngga ngajak tawuran supporter nya Inarizaki
Kalo gw di sana kayaknya udah rusuh duluan kesulut emosi 😭👎🏻"
2,hendyekaaa,"@M_Adya90 @yakiniku_ale @apnurrahman @noegroho_asto @Liga1Match2022 Ga ngunu cak, poinnya adalah stop membenturkan antar supporter fokus utama tetap usut tuntas siapapun yang bersalah wajib dihukum termasuk supporter. Kalo cuma membahas rusuh hanya menyudutkan satu pihak, padahal di kejadian lain rusuh pun gaada korban jiwa."
3,Rekapurnamasa22,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
4,deli_sakina,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
5,viliananugerah1,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
6,Lennandaa,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
7,baharudinnbahar,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
8,AnitaAn97398857,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
9,thatisbitterr,"@claudeOtat @UpdateBolabola beda persoalan bang harusnya, yg kmrn rusuh kan arema (liga 1) makanya yg diberentiin liganya, yg besok di GBK kan timnasnya, selama ini kan supporter timnas ga seanarkis supporter klub jg"
10,Nopiyertoo,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
11,NoniEfrisa,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
12,LumaloHarahap,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
13,adhaputraagung,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
14,Rayzamartiap,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
15,kalahmabok,@penggunaoff1 @garagarabola_ Coba baca goblok itu gw tulis casual malaysia juga saling serang antar casual di liga nya tapi tanpa ada yg mati point itu aduuhh ngerti kaga lu jadi  walau pun saling rusuh tidak ada korban nyawa kaya di indo terus pertandingan rival di hadiri supporter rival coba di indo ?
16,dimasrezautama,@HepriMr @fhaira21 @Altereg086 @AlionelMessi_ Samen barang lek gak ero cerito langsunge gak usa komen langsung nyalakno seng rusuh supporter BLOKK!!
17,Siswati117,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
18,Muhib26_,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
19,AgussBaskoro,"@AndiePeci @PSSI Ya khan PSSI juga harus kasih bonus dll kepada pemain. Supporter yg bedebah itu yg gak mau tau kesulitan PSSI. Maunnya timnya menang terus, kalau kalah terus ngamuk masuk lapangan bikin rusuh. Begitu ada korban salahkan aparat. Bedebah khan"
20,Bhonest47277692,@NurHadi251093 @Ahmadsarifuddi8 @SiaranBolaLive Naah merasa juga kn lu klo supporter indo rusuh
21,miaaSBA,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
22,Iqbalfas,"@Askrlfess duh untung ini terjadi bukan di Indonesia. bersyukur liga sepakbola di Indonesia kualitasnya sangat bagus, aman, dan transparant. ga ada tuh kasus supporter rusuh. jangankan rusuh, supporter damai aja ga pernah tuh ditembakin gas air mata ke arah tribun sama keamanan stadion."
23,Lincana2,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
24,syanimarwah,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
25,Alaffow04,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
26,in_g3n,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
27,LungJonathan,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
28,syawalu423,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
29,Deniwrh,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
30,Immomoneybray,"RT @veynardwjy: @idextratime Yang mulai rese imigran maroko disana, padahal adem sih awalnya nobar bareng eh begitu menang malah ngolok2 su…"
31,Bhonest47277692,"@NurHadi251093 @Ahmadsarifuddi8 @SiaranBolaLive Lu mau the jack , lu mau apa juga bodo amat ,
Intinya supporter indo tuh masih doyan rusuh bro, kalah ya kalah aja ga usah rusuh"
32,syamfitra,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
33,Intannrahayuu15,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
34,HepriMr,@Altereg086 @AlionelMessi_ Berawal dari supporter rusuh 😄 gitu ko ga paham
35,thgoodness,"@SiaranBolaLive Kalian i pieto, kami itu wes mengecam supporter lokal sini karena setiap sepak bola mesti rusuh, membanggakan supporter luar negeri yg tertib dan menganggap sepak bola lebih ke hiburan drpd semacam agama kok malah melu rusuh. Alah emboh ngntd 😩"
36,_mrizkiabdilah,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
37,Siriuscorner,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
38,NirmalasariY13,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
39,agnesiaregina,"RT @veynardwjy: @idextratime Yang mulai rese imigran maroko disana, padahal adem sih awalnya nobar bareng eh begitu menang malah ngolok2 su…"
40,desta_triandini,"RT @MySumatera: Supporter Belgia Rusuh di Brussel usai Timnas Belgia dikalahkan Maroko dalam Piala Dunia 2022 😱

Puluhan perusuh membakar t…"
41,Bhonest47277692,"@NurHadi251093 @Ahmadsarifuddi8 @SiaranBolaLive Kn awal mula supporter sndri yg rusuh , klo ga rusuh ga bgtu jdinya bang abang"
