,user_name,teks
0,masgembik30,Pendapat para ahli tentang gas air mata di Kanjuruhan Malang Wajib tonton sampek habis https://t.co/8NCsHjeLdk
1,mille_crypto,"@FaktaSepakbola @jfelixdiaz Ronaldo main di afc atau acl, suatu saat nanti bakal ketemu arema dan main di kanjuruhan, bayangin. Gimana nasib ronaldo setelah pertandingan"
2,SebastianEdo4,Demokrat salurkan bantuan kepada keluarga korban Tragedi Kanjuruhan Malang. #DemokratPeduliBerbagi AHY Pemimpin Mendunia https://t.co/HDJrbIv93e
3,RizkiPrtmP,Kasian itu sama korban dan keluarga tragedi kanjuruhan yg belum dapat keadilannya ! https://t.co/wdTXEBcQKU
4,natioindra,"RT @zenrs: Setuju. Kanjuruhan bisa dibaca sbg akumulasi pembiaran, bahkan penebalan, kebencian antar suporter. Banyak kelompok suporter pun…"
5,tiopamungkas_,"RT @yogach_: Pak @jokowi tolong relawan panjenengan ini ditindak.

Kok, bisa-bisanya ngomong seperti ini? Apa nggak punya kepekaan? Kenapa,…"
6,masihmagangNIH,"@PSSI Who dis, who dis,,, urusin noh kanjuruhan. Mo cuci tangan, kek sunlight aja."
7,yudhaekay,"@155Gooners @ainurohman @OngisnadeNet @AremafcOfficial Aku gak ngeyel mas, aku mek takon maksudnya apa dan sedikit menjelaskan pengertian tribun berdiri di Kanjuruhan, Btw itu komenku 2018 mas. Mohon maaf, kali ini mari kita nikmati dinginnya puncak mas 
buah kesabaran Gooners."
8,mbungandi,"RT @camilajenie: @dinagustavsson Kapolda-Wakapolda, DPRD Mereka Semua Ada Di stadion Kanjuruhan Menonton Bola https://t.co/Ulm2OF1QEr"
9,aaenggie,"RT @zenrs: Setuju. Kanjuruhan bisa dibaca sbg akumulasi pembiaran, bahkan penebalan, kebencian antar suporter. Banyak kelompok suporter pun…"
10,FazdillahReza,"RT @ObiWan_Catnobi: ( ( kehadiran penonton sedang digodok federasi ) )

Belum 2 bulan dari Pembantaian Kanjuruhan. Kasusnya juga belum tera…"
11,MMasukin,"RT @zenrs: Setuju. Kanjuruhan bisa dibaca sbg akumulasi pembiaran, bahkan penebalan, kebencian antar suporter. Banyak kelompok suporter pun…"
12,temmyiindra,@hehehe25s @iIhamzada Moggo mas https://t.co/SmZ7Kd8kPV
13,k_milenial,"RT @Matchalatteku14: Pendapat para ahli tentang gas air mata di Kanjuruhan Malang
Wajib tonton sampek habis https://t.co/9YdTk3e6Uv"
14,BP_Kaskus,"RT @zenrs: Setuju. Kanjuruhan bisa dibaca sbg akumulasi pembiaran, bahkan penebalan, kebencian antar suporter. Banyak kelompok suporter pun…"
15,rafidwiriz,"RT @zenrs: Setuju. Kanjuruhan bisa dibaca sbg akumulasi pembiaran, bahkan penebalan, kebencian antar suporter. Banyak kelompok suporter pun…"
16,iki_jipo,"RT @AREMA1986Merch: Cuaca Malang Cukup Cerah...

-Usut Tuntas Tragedi Kanjuruhan- https://t.co/w4o20kgfA7"
17,wahyusuarez2,"RT @AlionelMessi_: Alfiansyah, korban selamat tragedi Kanjuruhan, merayakan ultahnya yg ke-11. Ibu dan ayah tercintanya wafat di Stadion Ka…"
18,Nggleyor1,Pendapat para ahli tentang gas air mata di Kanjuruhan Malang Wajib tonton sampek habis https://t.co/WZEAglSZ4S
19,Krisna_WH,"RT @zenrs: Setuju. Kanjuruhan bisa dibaca sbg akumulasi pembiaran, bahkan penebalan, kebencian antar suporter. Banyak kelompok suporter pun…"
20,ikromzzzzzt,@jawafess Ngene iki maleh eling tragedi kanjuruhan 😞
21,gakjaditaruna,RT @cityguide911fm: Kejati Tolak Berkas Perkara Tragedi Kanjuruhan Karena Polisi Tidak Menyertakan Pasal Pembunuhan https://t.co/sSxJaebnOF
