,user_name,teks
0,fangance12,"@KaDRuN_ToL0L Buat mba nya yang mungkin mikir ""kenapa sih orang-orang itu cuma nyalahin polisi doang tapi supporter yang masuk ke lapangan enggak? Kok gak adil sih? Kan mereka rusuh? Kan mereka ngelagar aturan? """
1,Jungkoo57484958,"@Gelang_Alit2 @rizqi5691 @mohmahfudmd Supporter yg bikin ulah ya diusut dan dipidana simple. Masa iya krn oknum supporter yg rusuh hukumannya harus dibunuh secara masal, anak2 jd korban"
2,edhi_shi,"@Vivittts Satu pertandingan bola tak dikelola dgn baik, karena supporter rusuh tak terima timnya kalah.
Yg disalahkan jkw.
Mana ada di negara lain pimpinan negara dikaitkan dgn klub bola baik dlm pertandingan, supporter atau apa.
Pemerintah diminta tak intervensi sepakbola, PSSI yg boleh."
3,garisgemilang,"@mohmahfudmd Polisi penembak gas air mata, tni penendang kungfu, panitia pelaksana dan supporter gak sportif gak terima kekalahan yang rusuh turun ke lapangan termasuk gak pak ?"
4,bildon_,Dan akhirnya polisi pun turun tangan untuk membubarkan supporter yang turun ke lapangan. Tapi kenapa kalian malah nembak gas air mata ke TRIBUN ? Yang rusuh yg dilapangan kalian malah nembak ke TRIBUN.  Itulah kenapa terjadi kepanikan diantara supporter.
5,MellianaKDewi,"RT @CFC_Jak: @frandiasta @hirzanando @mk_anam @registaco bener sih, jangan seakan aremania suci, semua pihak disuruh tanggung jawab. sement…"
6,_agiss,"@korantempo Supporter masuk lapangan bahkan rusuh di std itu bukan hal baru di sepakbola Indonesia. Sering.
Yang membedakan dengan tragedi Kanjuruhan ya cara penanganan dan waktu pertandingan.
Meski supporter se Indonesia juga harus interospeksi juga."
7,ToddyLauw1,@pandji Supporter rusuh dan ngamuk aparat harusnya kasih kue dan kopi ajak duduk ngobrol ya nji?
8,ArismantoA,"@inasmfdti @KompasTV Ketum PSSI yg jelas nggak  salah,yg salah oknum supporter yg bikin rusuh."
9,khamdasulthoni_,"Yang pertama, banyak pernyataan bahwa kalau supporter tidak turun lapangan tidak akan pernah terjadi insiden itu, disini saya setuju jikalau para suporter tidak turun untuk rusuh maka tak terjadi hal seperti itu. Saya melihat beberapa video bahwa ada yang hanya ingin memeluk"
10,MalikiAdd,"Mohon maaf pak. Dari kesaksian supporter dan Video² amatir yang beredar. Tidak ada supporter yg mengejar pemain Persebaya, karena pemain langsung masuk. Dan mengejar oemain arema untuk memeluk bukan rusuh.
@mohmahfudmd Njenengan dapat info demikian dari siapa nggeh pak? https://t.co/cTnozT8VV9"
11,mulya_ahmad,"RT @kamikamustudio: @dpasandha @S4ndyWijaya @Badyou18 @aryoprakosa @jokowi Prosedur dibunuh atau apalah itu narasi elu, skenario elu, propa…"
12,Official_Yulian,"@yudisti77 @xdgp___ @registaco Terus yg ga rusuh kok jadi korban?
Logika bro.
Jangan lu generalisir semua korban adalah SUPPORTER RUSUH dan wajar di-mati-kan dengan GAS AIR MATA. 
Plis, hati nurani gunain bro."
13,JoeGorbacev,"RT @maymarmas: @korantempo BuzzeRp masuk dan merusak segalanya. 

Mereka leluasa menebar framing ke dalam narasi yg seolah masuk akal. Juga…"
