,user_name,teks
0,YogaSadewaa,"@RamaDgusta @alcacoq @indosupporter kalo jawabnya gini jd mirip ""aparat sudah sesuai prosedur tp beredar foto video aparat memukuli supporter""
maaf, disni sy setuju dg alasan terjadinya tragedi adlh andil besar aparat. cm kalimat diatas seakan menampik fakta yg ada (video supporter pukul pemain)"
1,Alf29Revryand,@imcips05 @ernestprakasa Susah di kontrol ?????? Supporter yang turun lapangan niat cuman buat ngasih semangat ke pemain tapi langsung kena pukul sama aparat itu yang namanya susah di kontrol ?
2,nalindha13,@iPhyM Bukanya udah banyak ya video yang memperlihatkan supporter di pukul sama ditendang sama aparat keamanan buta kali ni orang..!
3,Cacan48660029,"@Mia_Kyushu @somadbulhasan Ini biadab bnget aparat negara beraninya dengan nafsu pukul orang sampai gak bergerak, sya mengutuk keras atas kebiadaban aparat dlm menangani supporter, kan bisa d tangkap tanpa kekerasan"
4,txtdarinanna,RT @_kumalasavesta_: @mikewazowzk @dede_dedot96 @ikhwan_AP bayangin aparat ga pukulin orang dua yang turun duluan ke lapangan. Cukup tangka…
5,eichichizu,RT @_kumalasavesta_: @mikewazowzk @dede_dedot96 @ikhwan_AP bayangin aparat ga pukulin orang dua yang turun duluan ke lapangan. Cukup tangka…
6,Agamayer07,RT @_kumalasavesta_: @mikewazowzk @dede_dedot96 @ikhwan_AP bayangin aparat ga pukulin orang dua yang turun duluan ke lapangan. Cukup tangka…
7,CatatanDree,"@dede_dedot96 @astisaa Udah liat belum supporter sampean yg pukul pemain?itu kasih support? Lemparin baracuda isi pemain persebaya itu juga gentle? Gak usah ngerasa paling bener…semua salah supporter salah,panpel salah,aparat juga salah, apalagi pssi dan harus ada yg bertanggung jawab"
8,paramatatya,"@mazzini_gsp saya ada di stadion waktu kejadian, supporter yg turun awalnya gada yg anarki, aparat duluan bang yg pukul mundur supporternya secara anarki. supporter turun ke lapangan emg salah apapun alasannya, tp aparat mukul mundur dgn kekerasan apa itu di benarkan?"
9,paramatatya,"@txtdrpemerintah supporter turun ke lapangan emg salah, tp mereka gada yg anarki. aparat duluan yg pukul mundurnya pake kekerasan, makanya supporter bales anarki jg tp sasarannya aparat, BUKAN KE PEMAIN &amp; STAFF AREMA. saya ada di TKP waktu kejadian, jd saya liat yg pake kekerasan duluan siapa"
10,yudhi_yustira,"@justanono @doomstheday @dicky5777 @aacquiescee @Arie_Kriting 1,2 orang masuk lapangan itu triggernya, gak mikir supporter lain yg nonton baik2. Makanya ada regulasi FIFA soal ini, demikian juga soal pencerahan,harusnya steward yg paham PSIKOLOGI supporter, bukan berhadapan dgn aparat yg paham pukul rata demonstran/pelaku kriminal.."
11,softerweb,RT @_kumalasavesta_: @mikewazowzk @dede_dedot96 @ikhwan_AP bayangin aparat ga pukulin orang dua yang turun duluan ke lapangan. Cukup tangka…
12,richuansluck,RT @_kumalasavesta_: @mikewazowzk @dede_dedot96 @ikhwan_AP bayangin aparat ga pukulin orang dua yang turun duluan ke lapangan. Cukup tangka…
13,_kumalasavesta_,"@mikewazowzk @dede_dedot96 @ikhwan_AP bayangin aparat ga pukulin orang dua yang turun duluan ke lapangan. Cukup tangkap mereka. Mungkin supporter lain gabakal kepancing emosi nya.

Sama kaya kerusuhan 2018 aparat ga main pukul. Apakah ada korban jiwa?

Rusuh emang tidak bisa dibenarkan tapi tindakan aparat juga salah"
14,anons_pbg,"@ibnucssc19 @DioAHD @tukangbinih Kalo dari sudut pandang pemicunya yg salah supporter, tapi aparat jga salah penanganannya, masa lempar gas air mata ke tribun, tambah lagi main pukul sembarangan. Di aturan FIFA ngga boleh pake gas air mata, begitu jga supporter aturannya ngga boleh turun lapangan. bingung nih gw"
15,bukan_syarif,@DivHumas_Polri Klarifikasinya dong buat aparat ketangkep kamera yang main pukul ke supporter. Biar ada citra nya dikit !
16,BudhaMartini,"@SiaranBolaLive Otakmu itu yg harus objektif, jelas2 aturan FIFA tdk digunakan aparat, lihat itu vidio2 yg beredar supporter yg pukul ditendang jadi wajar klo mereka geram juga pd aparat yg arogan"
17,loh_heehhh,"@kumis_miow Atau bisa tangkap supporter lebih dulu turun, amankan ke pinggir. Banyak kok opsi yg bisa di pilih sama aparat selain pukul, pukul, dan pukul. Tapi aparat kita lebih memilih ego, jadi pentungan dan teargas itu sebagai senjata."
18,novanputraa,"@debysbrn Gini, 2008 aku pernah ada di situasi rusuh waktu Persib vs Persija di Stadion Siliwangi. Kejadiannya hampir mirip kayak gitu, banyak supporter masuk ke lapangan karena waktu itu Persib kondisi kalah. Tapi apa yg dilakukan aparat? Mereka pukul mundur dan kerahkan anjing pelacak."
19,maulanaa_rafli,"@niallboxes @adawiyahriwan @mahfudhid @ainurohman Mbak maaf di pertandingan sebelumnya di sidoarjo juga ada kok kerusuhan.. Banyak juga yg turun, tapi apa ada korban jiwa? Ngga ada karena penanganannya tepat.. Dan lagi banyak yg turun karena supporter gaterima atas perlakuan aparat yang langsung maen pukul"
20,Kaba2girlNurul,"@DodyKilapong1 @6undul0h @msaid_didu Frankfurt Jerman. Supporter turun ke lapangan. Mgkn polisi blm pernah lihat spt ini. Di kanjuruhan, tidak ada pemukulan ke wasit/kiper. Para suporter dilapangan sdh di pukul mundur oleh aparat. Setelah suporter mundur, yg ditribun (yg ga ricuh) ditembaki gas air mata. https://t.co/JwHEjmkiLD"
21,kumiskampret,"@AkimMudin @RezqiWahyu_05 ""kalopun adu pukul"" buset 
Rasionya 1 aparat lawan brp orang supporter ?
Yg mati aparat dong"
22,scretsccndsall,@ibranimovic27 @SintaNu63153060 jelas' suporter oknum salah satunya ada yang pukul kepala aparat. lo masih sibuk nyari kesalahan mereka. yg jelas' supporter jg salah. lebih banyak' evaluasi gausah mojokin 1 oknum yg ternyata supporter lu jg udh caos parah.
23,Mr_AziziHafiz,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
24,rdhnthp,"Dr mana dasar argumen supporter 'tdk terorganisir'?Dateng bareng2 bawa alat tabuh buat kasih support, nyanyi2 lagu seragam bareng2, liat temennya kena pukul aparat terus ambil inisiatif bantuin/melawan. Dr mana makna 'tdk terorganisir'nya?cont. https://t.co/VQRFcsaWQO"
25,NKRI_NTBSasambo,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
26,Aditashine,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
27,NurfiantoGiar,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
28,Pestgone1,"@MurtadhaOne1 Supporter yg turun ke lapangan akibat kau anggap kesalahannya : dihukum pukul ditendang ditembaki gas air mata aparat, meninggal 125 lebih
Sedang
Aparat yg menembakkan gas Air Mata : .....mereka telah mendapatkan hukuman apa????
Itu FOKUSnya"
29,Yudhstrahrlmbng,"@ainur_rozim @japaneselemonnn @IbnoeAhmad4 Buka rtwit gua bg, semua di mulai karna supporter yang anarkis mukul pemain arema, Iya bg dia mukul pemain dari klub kesayangannya, Dan ketika di Pukul mundur, Mereka melempari aparat dengan batu botol dll, Tolong jgn hanya melihat dari 1 perspektif, Ada Sebab Ada Akibat."
30,argantawm,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
31,inwonderlalands,@AkimMudin @RezqiWahyu_05 Alhadulillah kalo semua yang dateng cuma mau nonton. Tap di kasus ini supporter emang mau adu pukul sama siapa sih? Supporter lawan bukannya dilarang nonton? Berarti tujuan suporter ya memang nyerang yang ada dilapangan. Aparat yang bertugas udah jelas kalah jumlah. Kalo aja kita
32,SamsulA44787617,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
33,abet892,"@adilah_iqbal @hrdbacot @Tidakpernahtua @lapangan_hi7au @rodrigosantono @OngisnadeNet Yg emosi sebenarnya aparat, pelampiasan emosinya ke supporter, yg harusnya mereka bisa mengamankan tp malah jd ladang pukul dan tendang"
34,abet892,"@sholakhuddin17 @zainfullcasuz @PSSI Supporter turun tuh ga masalah mereka tau resikonya kok tp bisa dong dinilai mereka anarkis apa engga, selama kondusif bukan kekerasan aparat harusnya ga ambil tindakan msh bs mengarahkan tetap tenang tp klo ga anarkis mlh aparat main pukul bukannya ini akar masalah keributannya"
35,dhilaanisa112,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
36,abet892,"@Lunatic_Planets @wongatun_ @Box2BoxBola Supporter turun tuh ga masalah mereka tau resikonya kok tp bisa dong dinilai mereka anarkis apa engga, selama kondusif aparat harusnya ga ambil tindakan msh bs mengarahkan tetap tenang tp klo ga anarkis mlh aparat main pukul bukannya ini akar masalah keributannya"
37,abet892,"@DarenF11 @Box2BoxBola Supporter turun tuh ga masalah mereka tau resikonya kok tp bisa dong dinilai mereka anarkis apa engga, selama kondusif aparat harusnya ga ambil tindakan msh bs mengarahkan tetap tenang tp klo ga anarkis mlh aparat main pukul bukannya ini akar masalah keributannya"
38,abet892,"@akirayosuke @Doublespresso3 @dvdneman @Box2BoxBola Supporter turun tuh ga masalah mereka tau resikonya kok tp bisa dong dinilai mereka anarkis apa engga, selama kondusif aparat harusnya ga ambil tindakan msh bs mengarahkan tetap tenang tp klo ga anarkis mlh aparat main pukul bukannya ini akar masalah keributannya"
39,jagapatidotcom,"Makin banyak supporter yang masuk ke lapangan, kondisi di stadion makin ricuh. 

💬 Bukan diakibatkan bentrok antar supporter 

Terjadi bentrok antar supporter &amp; aparat keamanan, diawali aksi pukul memukul, dihantam tameng, dan ditembak gas air mata di seluruh stadion. 

(5/11) https://t.co/pUt7239N9v"
40,kiloffa,"RT @CahayaSakinah_: Start situ semua org masuk padang.Ada yg baling barang pada pemain dan coach.Dah tak terkawal,security bawa pemain gera…"
41,aya_akaz,"Apakah supporter yg di tendang, di pukul di tembak gas airmata, memiliki basic karate,taekwondo,pencak silat atau kebal wesi yo wesi, hingga aparat harus mengeluarkan segala jurus?
#tniad #polisi #aremania"
42,jejeafganp,"@OngisnadeNet Jangan menghilangkan fakta yang ada juga, terbukti banyak video tersebar supporter pukul pemain. banyaknya supporter yang terpengaruh alkohol dan obat2an *sumber dr pedagang sekitar stadion. Yang salah itu banyak aspek aparat salah jelas, supporter juga salah."
43,RexAshh,"mungkin kedepannya butuh cara lain ga harus cuma main pukul saja, ya walaupun aga sulit untuk menghimbau supporter yang ricuh.

menurut saya juga aparat seharusnya lebih teliti lagi saat bertindak atau saat menembak gas air mata, karena kan ga semuanya rusuh wei"
44,RexAshh,"Poin penting kejadian aremania

1. Aparat
Banyak yang bilang ""Kalo supporter ga turun lapangan pasti Polisi ga akan main pukul"" 
betul sekali, saya membenarkan hal itu tapi Yang saya tahu Aremania itu memang seperti itu bahkan ga cuma aremania kok ada supporter yang sangat fanati https://t.co/2piLqvZwQH"
45,AnarkisFans,"@evhawolupithu @RKmnH09 @kegblgnunfaedh Pernah saya membenarkan tindakan itu ? Tapi kalian para supporter tolol Denial terus gamau disalahkan. Ngaku ga anarkis buktinya pukul pemain, pukul official, pukul aparat. Munafik asw"
46,Astrontgagal,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
47,dwstyo_,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
48,ibnukiw,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
49,jxxsperll,"@akangpendi @eccentricsaturn @Eduardlazarus mungkin aparat juga kewalahan mas mentertibkannya, scra aparat kalah jumlah sm supporter, blm lagi para supporter yg saling lempar benda dn sling pukul."
50,mynameisalpkhs,"RT @RezqiWahyu_05: dan sekitar pukul 22.30 juga masih banyak insiden pelemparan batu ke arah mobil aparat, dan pengeroyokan Supporter terha…"
51,ttarawacatchup,"@ira2516 @Awbabdullaah1 @IbnoeAhmad4 mereka dilemparin batu sama supporter yang ada di tribun. aparat pukul mundur yang sebelah utara tapi suporter dari arah selatan turun ke lapangan, jadi aparat terkepung. dari segi jumlah aja uda kalah, sbg manusia pasti mereka juga punya defense untuk dirinya sendiri. bingung."
52,lifeofrois,"@giginpraginanto Nyalahin aparat ? Otakmu cuma sejengkal, IQ mu serendah umr jogja. Ini para supporter sampah masuk lapaangan emang harus di pukul &amp; tendang. Tapi soal gas air mata jelas itu polisi nya yg goblok.."
53,pendeka77664614,"@presidenmerdeka @MataNajwa @andi_achilles woi aparat, lo di latih bukan untuk lawan rakyat. dari cara mukul, nendang terus kabur keliatan banget bukan bertujuan untuk membubarkan masa. terlalu brutal, bahkan supporter yg sempet di tendang dan pukul sampe masih bisa narik aparat pas nendang rekan supporternya, gokil!"
54,Sincerity_02,"RT @bellayollanove1: Sumpahh jahatt bangtt aparat, polisi,TNI jelas jelas vidio bersebaran kalian pakai kaki nyerang supporter dari belakan…"
